Date,Open,High,Low,Close,Volume,Adj Close
2016-01-06,201.45,234.0,200.5,224.55,8468200,220.34
2016-01-07,220.5,235.0,215.6,220.75,4849600,216.61
2016-01-08,223.45,232.4,222.1,224.6,1867800,220.39
2016-01-11,222.0,227.9,217.75,224.45,1162800,220.24
2016-01-12,225.0,228.5,217.5,219.7,815300,215.58
2016-01-13,221.4,241.9,213.25,237.55,3764800,233.1
2016-01-14,231.5,233.4,217.2,219.65,1673000,215.53
2016-01-15,221.9,229.0,217.0,219.75,1551300,215.63
2016-01-18,219.05,219.1,190.0,193.75,1481800,190.12
2016-01-19,195.35,209.5,195.35,207.4,1327600,203.51
2016-01-20,202.0,210.0,198.0,205.95,1086000,202.09
2016-01-21,208.9,219.5,206.7,217.45,1271500,213.37
2016-01-22,221.0,223.95,214.35,215.7,679600,211.66
2016-01-25,216.35,217.85,207.4,211.6,542200,207.63
2016-01-26,211.6,211.6,211.6,211.6,0,207.63
2016-01-27,213.8,222.5,212.1,216.1,1123400,212.05
2016-01-28,216.5,226.9,215.2,222.5,1067800,218.33
2016-01-29,220.5,236.0,220.5,234.0,1740200,229.61
2016-02-01,236.0,243.85,233.1,238.25,1635800,233.78
2016-02-02,239.35,246.4,226.15,231.6,1373500,227.26
2016-02-03,236.0,246.9,231.05,232.85,2753400,228.49
2016-02-04,236.3,238.8,223.15,226.15,841600,221.91
2016-02-05,226.2,227.25,221.0,223.5,475700,219.31
2016-02-08,224.5,230.4,223.05,224.7,554700,220.49
2016-02-09,220.0,223.05,216.7,220.1,654000,215.97
2016-02-10,218.0,225.0,217.95,219.55,623700,215.44
2016-02-11,219.0,219.8,205.4,207.6,441300,203.71
2016-02-12,208.6,210.0,192.4,205.45,507700,201.6
2016-02-15,208.5,222.8,208.5,218.7,778700,214.6
2016-02-16,220.15,221.0,208.05,209.55,276200,205.62
2016-02-17,211.05,222.35,202.15,219.7,571700,215.58
2016-02-18,221.55,221.55,214.5,217.05,635400,212.98
2016-02-19,215.9,228.4,214.85,225.35,874300,221.13
2016-02-22,225.65,229.75,222.2,223.05,514800,218.87
2016-02-23,223.4,229.85,220.1,223.75,718000,219.56
2016-02-24,224.8,235.5,221.5,231.35,2029700,227.01
2016-02-25,231.6,232.55,222.7,225.5,512300,221.27
2016-02-26,227.2,229.6,215.1,217.7,404700,213.62
2016-02-29,217.2,230.45,211.5,227.75,1079400,223.48
2016-03-01,228.4,228.8,223.3,224.85,382700,220.64
2016-03-02,227.4,231.7,225.0,225.75,451800,221.52
2016-03-03,227.4,229.8,224.3,225.05,540600,220.83
2016-03-04,225.5,231.25,223.55,224.9,773200,220.68
2016-03-07,224.9,224.9,224.9,224.9,0,220.68
2016-03-08,226.1,231.85,224.1,224.95,576200,220.73
2016-03-09,225.0,231.0,224.1,226.7,549000,222.45
2016-03-10,226.7,244.6,225.1,242.2,2857800,237.66
2016-03-11,243.0,252.7,242.95,247.95,2399800,243.3
2016-03-14,249.4,251.8,242.5,246.95,626600,242.32
2016-03-15,247.5,248.45,233.0,234.3,734900,229.91
2016-03-16,235.0,241.25,230.75,240.1,811300,235.6
2016-03-17,239.4,246.3,237.5,240.45,768600,240.45
2016-03-18,240.4,245.25,238.0,242.65,726600,242.65
2016-03-21,245.0,249.0,238.6,246.35,655100,246.35
2016-03-22,245.6,246.15,224.1,228.95,1665000,228.95
2016-03-23,229.55,233.4,215.2,216.7,1726400,216.7
2016-03-24,216.7,216.7,216.7,216.7,0,216.7
2016-03-25,216.7,216.7,216.7,216.7,0,216.7
2016-03-28,218.2,223.5,214.5,215.65,989500,215.65
2016-03-29,218.15,221.9,216.65,220.15,1464100,220.15
2016-03-30,222.2,225.0,221.4,223.55,455800,223.55
2016-03-31,226.25,233.7,224.6,231.9,1081400,231.9
2016-04-01,232.0,234.8,228.15,228.8,411600,228.8
2016-04-04,229.0,239.7,229.0,233.05,1061200,233.05
2016-04-05,232.0,239.0,229.5,235.2,749500,235.2
2016-04-06,235.1,237.0,233.7,235.4,593800,235.4
2016-04-07,236.8,239.2,226.85,228.45,865200,228.45
2016-04-08,228.0,231.0,225.75,227.4,355900,227.4
2016-04-11,225.0,227.6,223.25,226.25,404600,226.25
2016-04-12,225.7,230.05,225.7,227.6,205700,227.6
2016-04-13,229.3,231.95,226.4,227.25,238400,227.25
2016-04-14,227.25,227.25,227.25,227.25,0,227.25
2016-04-15,227.25,227.25,227.25,227.25,0,227.25
2016-04-18,226.8,240.6,226.8,238.8,657200,238.8
2016-04-19,238.8,238.8,238.8,238.8,0,238.8
2016-04-20,239.2,247.0,237.1,244.95,581900,244.95
2016-04-21,244.95,250.95,240.2,247.05,501100,247.05
2016-04-22,247.05,247.75,239.0,240.2,410400,240.2
2016-04-25,242.0,242.0,235.05,235.65,148700,235.65
2016-04-26,235.0,239.7,234.55,235.65,255000,235.65
2016-04-27,237.0,240.0,235.6,237.75,178800,237.75
2016-04-28,237.95,238.0,228.7,231.0,200900,231.0
2016-04-29,229.0,236.25,229.0,234.75,139600,234.75
2016-05-02,231.8,237.05,231.8,233.8,158200,233.8
2016-05-03,235.0,237.05,229.45,230.45,278600,230.45
2016-05-04,232.95,232.95,224.8,225.7,165500,225.7
2016-05-05,225.15,230.55,225.15,225.75,284100,225.75
2016-05-06,225.0,229.2,224.0,226.15,138200,226.15
2016-05-09,226.9,231.8,225.6,230.85,238800,230.85
2016-05-10,229.45,233.5,227.2,228.0,189700,228.0
2016-05-11,224.35,229.45,222.7,224.2,179000,224.2
2016-05-12,224.1,228.5,224.1,226.65,210300,226.65
2016-05-13,225.5,229.4,223.35,227.4,192900,227.4
2016-05-16,228.5,229.7,224.35,225.25,190400,225.25
2016-05-17,226.4,227.5,223.5,224.8,273300,224.8
2016-05-18,225.5,229.9,225.0,227.2,548300,227.2
2016-05-19,205.0,208.5,187.1,201.45,5930600,201.45
2016-05-20,202.0,203.75,193.65,194.95,954700,194.95
2016-05-23,193.0,195.45,184.0,185.3,1103400,185.3
2016-05-24,186.25,188.2,181.0,182.4,449000,182.4
2016-05-25,184.0,185.6,175.7,176.7,496800,176.7
2016-05-26,176.7,192.25,176.7,188.6,1973700,188.6
2016-05-27,188.0,188.8,183.1,184.25,422200,184.25
2016-05-30,185.85,187.8,182.0,182.65,252900,182.65
2016-05-31,183.45,186.0,180.5,184.5,564100,184.5
2016-06-01,186.0,187.9,178.5,179.9,501600,179.9
2016-06-02,181.1,181.8,177.0,177.8,351200,177.8
2016-06-03,178.85,181.95,178.0,178.6,315600,178.6
2016-06-06,178.85,179.8,177.05,177.35,128100,177.35
2016-06-07,178.3,178.65,175.5,176.5,291300,176.5
2016-06-08,176.95,181.0,175.85,176.7,431000,176.7
2016-06-09,177.45,183.8,177.45,182.95,782000,182.95
2016-06-10,183.1,184.8,182.0,183.95,441700,183.95
2016-06-13,182.0,182.7,175.0,175.85,444300,175.85
2016-06-14,176.6,180.0,176.2,179.3,262400,179.3
2016-06-15,180.75,187.6,179.15,186.1,775600,186.1
2016-06-16,186.0,191.35,183.3,185.75,1172500,185.75
2016-06-17,186.95,187.85,181.1,181.8,407600,181.8
2016-06-20,179.95,180.9,177.0,177.3,592700,177.3
2016-06-21,178.2,179.45,177.1,177.85,516500,177.85
2016-06-22,178.2,179.35,173.0,173.45,433200,173.45
2016-06-23,173.0,175.0,172.95,173.3,190700,173.3
2016-06-24,170.0,172.85,162.5,171.5,350300,171.5
2016-06-27,171.0,176.5,170.7,175.05,327400,175.05
2016-06-28,175.0,178.95,174.15,175.15,483400,175.15
2016-06-29,175.5,176.8,175.1,175.55,350300,175.55
2016-06-30,176.4,177.4,174.5,175.35,513000,175.35
2016-07-01,176.0,179.55,175.5,175.9,747700,175.9
2016-07-04,176.8,179.5,175.5,176.1,393600,176.1
2016-07-05,179.4,181.2,173.05,173.6,809700,173.6
2016-07-06,173.6,173.6,173.6,173.6,0,173.6
2016-07-07,174.7,176.25,170.9,172.4,600700,172.4
2016-07-08,172.95,173.95,171.1,171.8,298200,171.8
2016-07-11,172.5,177.55,172.5,176.2,586500,176.2
2016-07-12,176.25,177.35,173.2,174.2,263700,174.2
2016-07-13,175.1,175.8,172.05,173.25,321100,173.25
2016-07-14,173.4,174.4,170.55,171.65,551500,171.65
2016-07-15,172.25,176.45,170.1,170.7,702200,170.7
2016-07-18,171.3,172.95,168.2,169.15,257300,169.15
2016-07-19,168.7,168.8,166.5,168.05,365600,168.05
2016-07-20,168.05,175.5,167.0,174.25,1850900,174.25
2016-07-21,175.45,175.45,171.05,171.55,248400,171.55
2016-07-22,171.0,172.35,170.05,170.85,255400,170.85
2016-07-25,171.95,172.4,169.9,170.2,448500,170.2
2016-07-26,170.8,177.25,170.3,173.25,758200,173.25
2016-07-27,173.35,175.8,172.2,173.45,247100,173.45
2016-07-28,174.05,174.8,172.5,173.65,249100,173.65
2016-07-29,173.3,173.6,168.8,169.55,509800,169.55
2016-08-01,170.05,172.45,169.25,171.0,594400,171.0
2016-08-02,173.0,179.35,170.25,171.85,2150800,171.85
2016-08-03,159.8,175.9,159.8,173.65,2704200,173.65
2016-08-04,174.25,175.8,169.5,174.9,696000,174.9
2016-08-05,175.15,179.0,172.95,177.6,774000,177.6
2016-08-08,177.6,188.4,177.6,186.65,1719000,186.65
2016-08-09,186.5,188.8,183.0,187.5,559900,187.5
2016-08-10,187.75,188.6,181.0,183.45,384900,183.45
2016-08-11,183.1,184.8,178.0,179.65,509800,179.65
2016-08-12,179.9,184.25,179.35,181.75,238800,181.75
2016-08-15,181.75,181.75,181.75,181.75,0,181.75
2016-08-16,183.65,184.8,176.9,178.9,433800,178.9
2016-08-17,179.8,181.55,177.25,178.55,332600,178.55
2016-08-18,178.35,180.0,177.0,177.55,440100,177.55
2016-08-19,177.55,188.6,177.55,187.25,908600,187.25
2016-08-22,188.3,188.95,182.25,183.05,369800,183.05
2016-08-23,183.4,183.85,179.45,180.55,260800,180.55
2016-08-24,180.75,186.5,179.6,183.45,339500,183.45
2016-08-25,184.45,188.25,181.2,187.45,750000,187.45
2016-08-26,188.0,196.0,184.0,193.6,1218800,193.6
2016-08-29,193.8,195.65,187.15,188.55,536300,188.55
2016-08-30,189.7,193.4,188.3,190.4,351300,190.4
2016-08-31,190.05,193.25,187.3,188.45,302300,188.45
2016-09-01,188.65,189.9,182.8,184.5,232800,184.5
2016-09-02,183.95,185.5,181.2,181.9,212000,181.9
2016-09-05,181.9,181.9,181.9,181.9,0,181.9
2016-09-06,183.1,189.6,182.55,188.55,523400,188.55
2016-09-07,188.75,188.75,182.5,183.85,387600,183.85
2016-09-08,183.85,183.85,180.1,181.4,380600,181.4
2016-09-09,181.45,185.8,181.35,182.65,307500,182.65
2016-09-12,179.5,181.0,178.0,178.8,184200,178.8
2016-09-13,178.8,178.8,178.8,178.8,0,178.8
2016-09-14,178.1,181.0,178.0,179.5,146100,179.5
2016-09-15,179.9,183.55,179.5,180.4,231200,180.4
2016-09-16,181.8,184.0,179.05,179.7,313100,179.7
2016-09-19,180.75,181.85,177.0,177.3,264500,177.3
2016-09-20,177.8,178.8,174.8,175.45,322800,175.45
2016-09-21,176.0,184.0,174.7,182.05,669600,182.05
2016-09-22,187.5,191.0,184.5,189.75,1566500,189.75
2016-09-23,190.0,190.4,183.25,184.1,482500,184.1
2016-09-26,183.05,192.3,183.05,189.9,831200,189.9
2016-09-27,189.2,191.0,180.55,182.7,585100,182.7
2016-09-28,183.1,186.0,180.25,182.3,780700,182.3
2016-09-29,183.0,184.6,170.2,175.1,985600,175.1
2016-09-30,175.0,181.95,171.3,180.3,1074800,180.3
2016-10-03,181.45,183.6,179.25,180.3,603700,180.3
2016-10-04,180.25,181.9,177.95,179.7,449500,179.7
2016-10-05,180.0,184.85,178.65,183.05,1044200,183.05
2016-10-06,184.2,186.0,180.0,180.85,715900,180.85
2016-10-07,180.7,181.75,178.9,179.55,314600,179.55
2016-10-10,179.6,181.55,178.8,179.35,286400,179.35
2016-10-11,179.35,179.35,179.35,179.35,0,179.35
2016-10-12,179.35,179.35,179.35,179.35,0,179.35
2016-10-13,179.25,179.55,172.1,173.35,668900,173.35
2016-10-14,173.5,175.5,172.75,173.1,426800,173.1
2016-10-17,172.6,173.65,170.0,170.3,571500,170.3
2016-10-18,171.1,172.0,169.4,170.1,721300,170.1
2016-10-19,171.0,171.5,168.4,169.1,634300,169.1
2016-10-20,170.0,173.95,170.0,173.1,987200,173.1
2016-10-21,173.3,177.65,173.0,175.0,1023800,175.0
2016-10-24,175.35,178.25,173.4,176.65,632800,176.65
2016-10-25,177.0,177.75,174.5,174.9,215700,174.9
2016-10-26,174.8,177.0,173.4,174.15,933400,174.15
2016-10-27,174.0,175.0,170.6,172.2,542500,172.2
2016-10-28,169.9,176.25,169.0,173.3,895900,173.3
2016-10-31,173.3,173.3,173.3,173.3,0,173.3
2016-11-01,175.0,178.0,172.25,176.0,465500,176.0
2016-11-02,174.8,181.4,173.1,179.3,1244100,179.3
